idx,price,beds,bath,sqft,lot_size,address,lat,long
134,134,1585000.0,4.0,2.0,2493.0,,"12605 Stella 61 Plan 1 Ln Unit Hs, San Diego, CA 92129",32.9657005,-117.1147095
135,135,439000.0,1.0,1.0,561.0,,"13207 Wimberly Sq Unit 275, San Diego, CA 92128",32.9582913,-117.0947652
136,136,28000000.0,7.0,7.5,10300.0,0.73,"308 Vista De La Playa, La Jolla, CA 92037",32.8347751,-117.2809759
137,137,420000.0,1.0,1.0,602.0,,"13303 Rancho Penasquitos Blvd Unit A207, San Diego, CA 92129",32.9577426,-117.1116301
138,138,1449900.0,4.0,2.0,1544.0,,"2005 Montclair St, San Diego, CA 92104",32.7266539,-117.1150083
139,139,599000.0,,,,,"Reynard Way Units 11,13,14, San Diego, CA 92103",32.7387345,-117.1698583
140,140,1999000.0,4.0,3.0,2487.0,,"6744 Monterra Trl, San Diego, CA 92130",32.9696747,-117.1743816
141,141,899000.0,3.0,2.5,1417.0,,"9332 Galvin Ave, San Diego, CA 92126",32.9207885,-117.1241936
142,142,1139000.0,4.0,2.5,1843.0,5474.0,"13772 Paseo Zaldivar, San Diego, CA 92129",32.9638827,-117.1180417
143,143,2985000.0,3.0,3.0,4233.0,0.26,"1427 Cottontail Ln, La Jolla, CA 92037",32.821332,-117.2601254
144,144,3495000.0,3.0,3.0,1654.0,9664.0,"8439 La Jolla Shores Dr, La Jolla, CA 92037",32.8601953,-117.2529834
145,145,599000.0,1.0,1.0,713.0,1.59,"6333 LA Jolla Blvd Unit 263, La Jolla, CA 92037",32.8246674,-117.2756673
146,146,524999.0,2.0,2.0,894.0,5.45,"11267 Avenida De Los Lobos Unit E, San Diego, CA 92127",33.0028233,-117.0909462
147,147,619000.0,2.0,2.0,1164.0,,"12260 Corte Sabio Unit 5203, San Diego, CA 92128",33.0020043,-117.0675938
148,148,1049000.0,2.0,2.0,1308.0,,"645 Front St Unit 1014, San Diego, CA 92101",32.7119428,-117.1642559
149,149,470000.0,1.0,1.0,540.0,1.65,"15277 Maturin Dr Unit 46, San Diego, CA 92127",33.0044394,-117.0908069
150,150,4348000.0,5.0,5.5,5288.0,1.0,"8122 Twilight Point Way, San Diego, CA 92127",33.0256999,-117.1512685
151,151,885000.0,3.0,2.5,1604.0,2.71,"3881 Creststone Pl, San Diego, CA 92130",32.9597365,-117.2337377
152,152,1000000.0,3.0,2.0,1515.0,8500.0,"5643 Limerick Ave, San Diego, CA 92117",32.8438483,-117.1785629
153,153,1199000.0,2.0,2.0,1399.0,,"2362 Torrey Pines Rd Unit 33, La Jolla, CA 92037",32.8510856,-117.2522054
154,154,569000.0,3.0,1.0,985.0,8700.0,"5574 Encina Dr, San Diego, CA 92114",32.698783,-117.0759375
155,155,10500000.0,5.0,5.5,7797.0,1.9,"6320 La Jolla Scenic Dr S, La Jolla, CA 92037",32.8304557,-117.2542465
156,156,1599000.0,3.0,2.0,1750.0,3525.0,"2218 Dale St, San Diego, CA 92104",32.7290447,-117.1314273
157,157,4245000.0,5.0,5.0,5922.0,0.74,"7858 Entrada Angelica, San Diego, CA 92127",32.9857315,-117.1490398
158,158,879000.0,3.0,3.0,1875.0,,"5495 Caminito Borde, San Diego, CA 92108",32.776332,-117.1009551
159,159,430000.0,1.0,1.0,756.0,,"11333 Avenida De Los Lobos Apt A, San Diego, CA 92127",33.0042352,-117.092486
160,160,1499000.0,3.0,3.0,1684.0,,"3033 Voltaire St, San Diego, CA 92106",32.7348426,-117.221381
161,161,860000.0,3.0,2.5,1632.0,8.45,"16340 Avenida Venusto Unit C, San Diego, CA 92128",33.0109754,-117.0759297
162,162,599000.0,1.0,1.0,691.0,,"3116 Via Alicante Unit F, La Jolla, CA 92037",32.8627333,-117.2347024
163,163,2749000.0,5.0,5.0,5089.0,1.0,"18778 Olmeda Pl, San Diego, CA 92128",33.0475776,-117.0524226
164,164,675000.0,3.0,2.0,1746.0,7383.0,"572 61st St, San Diego, CA 92114",32.7110783,-117.0669732
165,165,884900.0,3.0,2.0,1564.0,5300.0,"4951 Art St, San Diego, CA 92115",32.7678365,-117.0626058
166,166,349900.0,1.0,1.0,383.0,,"3980 8th Ave Unit 218, San Diego, CA 92103",32.7495868,-117.1577451
167,167,2875000.0,5.0,4.5,4247.0,,"7828 Vista Lazanja, San Diego, CA 92127",32.9797397,-117.1607117
168,168,475000.0,2.0,1.5,885.0,4.82,"3454 Castle Glen Dr Unit 139, San Diego, CA 92123",32.8060727,-117.1310751
169,169,3795000.0,3.0,2.5,3105.0,,"6070 La Jolla Mesa Dr, La Jolla, CA 92037",32.8248698,-117.2579897
170,170,5998000.0,4.0,4.5,5679.0,0.25,"5486 Rutgers Rd, La Jolla, CA 92037",32.8141062,-117.2566118
171,171,1400000.0,4.0,3.5,2168.0,0.23,"2293 3rd Ave, San Diego, CA 92101",32.72909,-117.1618578
172,172,459000.0,2.0,1.0,882.0,,"10436 Caminito Sulmona, San Diego, CA 92129",32.9640173,-117.0997716
173,173,422500.0,2.0,1.0,863.0,9.71,"4164 Mount Alifan Pl Unit B, San Diego, CA 92111",32.816527,-117.1791662
